Date,cases
"March 21, 2016",8704
"December 28, 2015",8704
"December 21, 2015",8704
"December 14, 2015",8704
"December 7, 2015",8704
"November 30, 2015",8704
"November 23, 2015",8704
"November 16, 2015",8704
"November 9, 2015",8704
"November 2, 2015",8704
"October 26, 2015",8704
"October 19, 2015",8704
"October 12, 2015",8704
"October 5, 2015",8704
"September 28, 2015",8704
"September 21, 2015",8704
"September 14, 2015",8704
"September 7, 2015",8703
"August 31, 2015",8698
"August 24, 2015",8697
"August 17, 2015",8697
"August 10, 2015",8697
"August 3, 2015",8696
"July 27, 2015",8694
"July 20, 2015",8693
"July 13, 2015",8688
"July 6, 2015",8676
"June 29, 2015",8671
"June 22, 2015",8662
"June 15, 2015",8654
"June 8, 2015",8647
"June 1, 2015",8624
"May 25, 2015",8614
"May 18, 2015",8608
"May 11, 2015",8598
"May 4, 2015",8597
"April 27, 2015",8590
"April 20, 2015",8584
"April 13, 2015",8569
"April 6, 2015",8558
"March 23, 2015",8532
"March 16, 2015",8508
"March 9, 2015",8469
"March 2, 2015",8389
"February 23, 2015",8320
"February 16, 2015",8223
"February 9, 2015",8155
"February 2, 2015",8084
"January 26, 2015",7989
"January 19, 2015",7921
"January 12, 2015",7825
"January 5, 2015",7759
"December 29, 2014",7476
"December 22, 2014",7160
"December 15, 2014",6702
"December 8, 2014",6375
"December 1, 2014",5978
"November 24, 2014",5441
"November 17, 2014",5152
"November 10, 2014",4683
"November 3, 2014",4149
"October 27, 2014",3778
"October 20, 2014",3389
"October 13, 2014",2977
"October 6, 2014",2593
"September 29, 2014",2179
"September 22, 2014",1816
"September 15, 2014",1513
"September 8, 2014",1287
"September 1, 2014",1146
"August 25, 2014",935
