deaths,cases,Country,Date
287,482,Guinea,29/08/14
6,15,Nigeria,29/08/14
225,322,Liberia,29/08/14
380,935,Sierra Leone,29/08/14
7,18,Nigeria,05/09/14
443,1146,Sierra Leone,05/09/14
362,604,Guinea,05/09/14
431,614,Liberia,05/09/14
0,1,Senegal,05/09/14
461,1234,Sierra Leone,08/09/14
508,634,Liberia,08/09/14
400,664,Guinea,08/09/14
0,1,Senegal,08/09/14
7,19,Nigeria,08/09/14
498,654,Liberia,12/09/14
403,678,Guinea,12/09/14
478,1287,Sierra Leone,12/09/14
7,19,Nigeria,12/09/14
0,1,Senegal,12/09/14
563,790,Liberia,16/09/14
514,1464,Sierra Leone,16/09/14
429,743,Guinea,16/09/14
7,19,Nigeria,16/09/14
0,1,Senegal,16/09/14
631,812,Liberia,18/09/14
435,750,Guinea,18/09/14
7,19,Nigeria,18/09/14
0,1,Senegal,18/09/14
517,1513,Sierra Leone,18/09/14
0,1,Senegal,22/09/14
7,19,Nigeria,22/09/14
465,818,Guinea,22/09/14
670,863,Liberia,22/09/14
545,1640,Sierra Leone,22/09/14
671,890,Liberia,24/09/14
0,1,Senegal,24/09/14
468,832,Guinea,24/09/14
7,19,Nigeria,24/09/14
552,1745,Sierra Leone,24/09/14
792,914,Liberia,26/09/14
7,19,Nigeria,26/09/14
481,876,Guinea,26/09/14
0,1,Senegal,26/09/14
557,1816,Sierra Leone,26/09/14
7,19,Nigeria,01/10/14
574,2076,Sierra Leone,01/10/14
890,927,Liberia,01/10/14
0,1,Senegal,01/10/14
535,950,Guinea,01/10/14
0,1,Senegal,03/10/14
562,977,Guinea,03/10/14
7,19,Nigeria,03/10/14
934,931,Liberia,03/10/14
575,2179,Sierra Leone,03/10/14
0,1,United States of America,03/10/14
7,19,Nigeria,08/10/14
1018,941,Liberia,08/10/14
0,1,United States of America,08/10/14
0,1,Senegal,08/10/14
587,1044,Guinea,08/10/14
725,2455,Sierra Leone,08/10/14
0,1,United States of America,10/10/14
1072,943,Liberia,10/10/14
7,19,Nigeria,10/10/14
0,1,Senegal,10/10/14
753,2593,Sierra Leone,10/10/14
598,1097,Guinea,10/10/14
0,1,Spain,10/10/14
0,1,Spain,15/10/14
1,2,United States of America,15/10/14
0,1,Senegal,15/10/14
653,1184,Guinea,15/10/14
,950,Liberia,15/10/14
926,2849,Sierra Leone,15/10/14
7,19,Nigeria,15/10/14
1,3,United States of America,17/10/14
0,1,Senegal,17/10/14
0,1,Spain,17/10/14
932,2977,Sierra Leone,17/10/14
671,1217,Guinea,17/10/14
,,Liberia,17/10/14
7,19,Nigeria,17/10/14
1241,965,Liberia,22/10/14
986,3223,Sierra Leone,22/10/14
1,3,United States of America,22/10/14
7,19,Nigeria,22/10/14
0,1,Senegal,22/10/14
0,1,Spain,22/10/14
710,1289,Guinea,22/10/14
0,1,Senegal,25/10/14
1008,3389,Sierra Leone,25/10/14
1,1,Mali,25/10/14
1,4,United States of America,25/10/14
7,19,Nigeria,25/10/14
0,1,Spain,25/10/14
1241,965,Liberia,25/10/14
732,1312,Guinea,25/10/14
,2515,Liberia,29/10/14
,1391,Guinea,29/10/14
0,1,Spain,29/10/14
1,1,Mali,29/10/14
,3700,Sierra Leone,29/10/14
1,4,United States of America,29/10/14
0,1,Senegal,29/10/14
7,19,Nigeria,29/10/14
,1409,Guinea,31/10/14
,2515,Liberia,31/10/14
1,1,Mali,31/10/14
0,1,Senegal,31/10/14
1,4,United States of America,31/10/14
0,1,Spain,31/10/14
,3778,Sierra Leone,31/10/14
7,19,Nigeria,31/10/14
837,1457,Guinea,05/11/14
0,1,Senegal,05/11/14
,2451,Liberia,05/11/14
1,1,Mali,05/11/14
893,4057,Sierra Leone,05/11/14
7,19,Nigeria,05/11/14
1,4,United States of America,05/11/14
0,1,Spain,05/11/14
0,1,Senegal,07/11/14
,2514,Liberia,07/11/14
7,19,Nigeria,07/11/14
921,4149,Sierra Leone,07/11/14
0,1,Spain,07/11/14
1,1,Mali,07/11/14
850,1479,Guinea,07/11/14
1,4,United States of America,07/11/14
934,1612,Guinea,12/11/14
,2553,Liberia,12/11/14
0,1,Spain,12/11/14
1,4,United States of America,12/11/14
960,4523,Sierra Leone,12/11/14
0,1,Senegal,12/11/14
7,19,Nigeria,12/11/14
2,2,Mali,12/11/14
978,4683,Sierra Leone,14/11/14
7,19,Nigeria,14/11/14
,2562,Liberia,14/11/14
,3,Mali,14/11/14
0,1,Spain,14/11/14
1,4,United States of America,14/11/14
958,1647,Guinea,14/11/14
0,1,Senegal,14/11/14
0,1,Spain,19/11/14
1,4,United States of America,19/11/14
4,5,Mali,19/11/14
,2643,Liberia,19/11/14
0,1,Senegal,19/11/14
982,1698,Guinea,19/11/14
7,19,Nigeria,19/11/14
1041,5056,Sierra Leone,19/11/14
1,4,United States of America,21/11/14
